country;group;week;zscore
Belgium;Total;2021-03;2.72
Belgium;Total;2021-04;2.53
Belgium;Total;2021-05;1.29
Belgium;Total;2021-06;0.65
Belgium;Total;2021-07;1.62
Belgium;Total;2021-08;-0.17
Belgium;Total;2021-09;-1.36
Belgium;Total;2021-10;0.3
Belgium;Total;2021-11;-0.33
Belgium;Total;2021-12;-0.07
Belgium;Total;2021-13;1.5
Belgium;Total;2021-14;1.31
Belgium;Total;2021-15;1.02
Belgium;Total;2021-16;1.84
Belgium;Total;2021-17;1.86
Belgium;Total;2021-18;2.58
Belgium;Total;2021-19;0.55
Belgium;Total;2021-20;0.22
Belgium;Total;2021-21;0.14
Belgium;Total;2021-22;0.34
Belgium;Total;2021-23;-0.92
Belgium;Total;2021-24;-0.01
Belgium;Total;2021-25;-1.83
Belgium;Total;2021-26;-0.04
Belgium;Total;2021-27;-0.97
Belgium;Total;2021-28;-0.16
Belgium;Total;2021-29;1.15
Belgium;Total;2021-30;-0.24
Belgium;Total;2021-31;-0.36
Belgium;Total;2021-32;-0.13
Belgium;Total;2021-33;-0.93
Belgium;Total;2021-34;-0.84
Belgium;Total;2021-35;0.08
Belgium;Total;2021-36;0.92
Belgium;Total;2021-37;-0.76
Belgium;Total;2021-38;-0.98
Belgium;Total;2021-39;-0.43
Belgium;Total;2021-40;0.51
Belgium;Total;2021-41;2.37
Belgium;Total;2021-42;3.55
Belgium;Total;2021-43;3.1
Belgium;Total;2021-44;2.35
Belgium;Total;2021-45;3.3
Belgium;Total;2021-46;3.2
Belgium;Total;2021-47;4.12
Belgium;Total;2021-48;6.31
Belgium;Total;2021-49;4.85
Belgium;Total;2021-50;3.89
Belgium;Total;2021-51;3.08
Belgium;Total;2021-52;2.89
Belgium;Total;2022-01;1.95
Belgium;Total;2022-02;0.47
Belgium;Total;2022-03;1.87
Belgium;Total;2022-04;3.44
Belgium;Total;2022-05;4.52
Belgium;Total;2022-06;3.72
Belgium;Total;2022-07;2.71
Belgium;Total;2022-08;1.35
Belgium;Total;2022-09;-0.08
Belgium;Total;2022-10;2.59
Belgium;Total;2022-11;2.51
Belgium;Total;2022-12;2.57
Belgium;Total;2022-13;3.94
Belgium;Total;2022-14;4.61
Belgium;Total;2022-15;3.88
Belgium;Total;2022-16;2.86
Belgium;Total;2022-17;1.56
Belgium;Total;2022-18;2.33
Belgium;Total;2022-19;0.26
Belgium;Total;2022-20;0.97
Belgium;Total;2022-21;-1.01
Belgium;Total;2022-22;0.59
Belgium;Total;2022-23;-0.49
Belgium;Total;2022-24;1.72
Belgium;Total;2022-25;0.79
Belgium;Total;2022-26;0.04
Belgium;Total;2022-27;1.18
Belgium;Total;2022-28;1.53
Belgium;Total;2022-29;2.42
Belgium;Total;2022-30;1.15
Belgium;Total;2022-31;1.53
Belgium;Total;2022-32;2.5
Belgium;Total;2022-33;2.14
Belgium;Total;2022-34;1.42
Belgium;Total;2022-35;0.35
Belgium;Total;2022-36;0.51
Belgium;Total;2022-37;-0.88
Belgium;Total;2022-38;0.62
Belgium;Total;2022-39;1.22
Belgium;Total;2022-40;2.41
Belgium;Total;2022-41;2.36
Belgium;Total;2022-42;1.95
Belgium;Total;2022-43;1.33
Belgium;Total;2022-44;-0.62
Belgium;Total;2022-45;-0.32
Belgium;Total;2022-46;-0.14
Belgium;Total;2022-47;0.99
Belgium;Total;2022-48;1.31
Belgium;Total;2022-49;3.81
Belgium;Total;2022-50;4.87
Belgium;Total;2022-51;8.51
Belgium;Total;2022-52;6.68
Belgium;Total;2023-01;5.88
Belgium;Total;2023-02;4.55
